Genename,baseMean,log2FC,lfcSE,stat,p_value,padj
Z97653.2,20.32482462,0.894316144,0.537098146,1.665088867,0.095895027,0.674291465
LINC01944,0.720421774,0.894254601,1.339275751,0.66771507,0.504315489,NA
OR7E11P,0.404285038,0.893289165,1.882450774,0.474535205,0.635118299,NA
ANKRD30A,1822.106041,0.892986114,1.084470061,0.823430859,0.410263021,0.893760847
LINC01231,0.303098254,0.891991667,1.62332325,0.549484933,0.582672702,NA
RFPL1,1.021890476,0.891723178,0.741015086,1.2033806,0.228829072,NA
GDF15,1174.883663,0.891539101,0.634251531,1.405655418,0.159826471,0.762002472
TUBB4BP3,0.135648781,0.891334238,2.368046659,0.376400623,0.706619083,NA
RNA5SP437,0.123135684,0.891329133,2.38830234,0.373206155,0.708995016,NA
LRRK2-DT,23.20463522,0.891309053,0.475201055,1.8756462,0.060703878,0.602417495
HTR3D,0.103143995,0.891229758,2.920457368,0.305167871,0.760238301,NA
SLC22A11,12.68837475,0.890766152,0.745049146,1.195580394,0.231860346,0.815413262
LINC01730,6.998612264,0.890331891,0.581417426,1.531312705,0.125692127,0.722230492
MTCO1P18,0.282612638,0.890037214,1.521521451,0.584965275,0.558571066,NA
PCBP2P3,0.23177746,0.889803165,1.480238666,0.601121418,0.547759119,NA
MRAP,27.07952426,0.88947102,0.858039338,1.036631982,0.299907402,0.850016107
COX6B1P1,0.315843925,0.889433287,1.451254522,0.612872018,0.539960967,NA
LINC01298,0.398065528,0.888669254,1.090601189,0.814843467,0.415161916,NA
LINC02518,4.942706044,0.888095494,0.803297773,1.105562002,0.268916144,NA
FOXD4L6,0.698871297,0.887981044,0.962944064,0.922152259,0.356449161,NA
TNXB,1371.457552,0.887769925,0.637297484,1.3930228,0.163612896,0.764581023
FAM90A11P,0.122681122,0.887225954,2.870199754,0.309116448,0.757232947,NA
RAX2,0.706287679,0.887163648,1.09412656,0.81084189,0.417456475,NA
MTCO3P38,0.176955965,0.887068903,3.805693086,0.233089974,0.81569154,NA
DAB1-AS1,0.1019246,0.88699297,4.660559794,0.190318976,0.849059184,NA
PPIF,6406.62987,0.886821517,0.376987341,2.352390703,0.018653171,0.412743004
MTND4P29,0.118378016,0.886680889,2.880641389,0.307806759,0.758229378,NA
SPTBN5,565.0129665,0.886241325,0.461765041,1.919247335,0.05495304,0.587303256
RNU6-1046P,0.414143758,0.885825729,1.062286634,0.83388579,0.404345345,NA
ABCA8,615.9441065,0.885813268,0.69575019,1.273177185,0.202955175,0.800951643
LINC02532,22.06970327,0.885247884,0.813180569,1.088624001,0.276319728,0.837434596
OSTM1-AS1,0.442242288,0.884899502,1.766252162,0.501004059,0.616368267,NA
LINC01235,245.225665,0.884738119,0.565408173,1.564777734,0.117635034,0.709586653
VIP,8.310832356,0.884399577,0.497717708,1.77691001,0.075583047,0.635999462
RFPL4AP6,0.939582295,0.884175323,0.992516786,0.890841683,0.37301411,NA
PLIN4,4446.391302,0.883669764,0.838199533,1.054247503,0.291769617,0.846112175
AADACL2-AS1,7.292296588,0.883554221,0.683058988,1.293525503,0.195829369,0.795009258
SLC25A31,0.522671663,0.883464169,0.895973119,0.9860387,0.324114123,NA
TCF21,2.23726018,0.883212931,0.727683116,1.213732889,0.224849741,NA
LTC4S,3.49409937,0.882775498,0.813703619,1.084885795,0.27797224,NA
SYNE3,874.7283904,0.882605689,0.423241098,2.085349684,0.037037571,0.516930969
RHOBTB3,4089.70801,0.882543059,0.502793461,1.755279509,0.07921151,0.642664958
RNU6-858P,0.547274053,0.881700076,1.263975878,0.697560841,0.485451878,NA
GPIHBP1,236.7802739,0.881470453,0.604077503,1.459200927,0.144509814,0.746431677
ARHGEF38-IT1,7.440059548,0.881446831,0.675263926,1.305336768,0.191778199,0.792223963
SPCS2P3,1.012046643,0.881317162,1.045388711,0.843052113,0.399199299,NA
ANKRD42,883.0443773,0.880873915,0.290939873,3.02768371,0.002464359,0.200773882
ACOT1,321.902515,0.880470596,0.426370385,2.065036945,0.038919505,0.522638772
LINC01018,39.52203868,0.880460874,0.80888804,1.088482992,0.276381941,0.837434596
DKK2,222.074172,0.880299631,0.463591811,1.898867947,0.057581841,0.592803149
MTDHP2,0.706408169,0.879976288,1.056257189,0.833107975,0.404783836,NA
GSTA1,46.66244243,0.879387525,0.980849869,0.896556703,0.36995551,0.880834401
DHH,28.85647016,0.879324845,0.455960723,1.928510071,0.053791713,0.585307373
ACTBP13,3.743731157,0.879227596,0.881911314,0.99695693,0.318785416,NA
PPIAP52,0.674224608,0.879013975,0.881066157,0.997670797,0.318439018,NA
PDE1A,242.7289699,0.878365289,0.431109085,2.037454836,0.041604483,0.537283855
ECM1,5469.853891,0.878221129,0.576299857,1.523896141,0.127534658,0.726724834
GRAMD4P7,19.9791055,0.87780551,1.202499537,0.729984073,0.46539992,0.912763554
MIR32,0.166760126,0.876813218,2.422801351,0.361900581,0.717426325,NA
GALNT8,60.33126733,0.876374779,0.550906249,1.59078751,0.111657405,0.702318568
ANGPTL1,217.3889769,0.876131021,0.559966437,1.564613454,0.117673572,0.709586653
RNU6-1250P,0.200625047,0.875846215,1.908043651,0.459028395,0.646213775,NA
SGCZ,0.96940809,0.875818042,1.494352619,0.586085259,0.557818222,NA
DCLK1,1415.096734,0.875238052,0.545429401,1.604677067,0.108564891,0.698987204
CLEC18A,6.447513168,0.874916767,0.439690175,1.989848345,0.046607644,0.557957021
LINC01544,0.586486897,0.874582362,1.07688235,0.812142906,0.416709636,NA
Z99572.1,64.21844461,0.872749778,0.502666643,1.736239692,0.082521462,0.65163988
HAR1B,5.997255667,0.872301461,0.710389902,1.227919285,0.219477269,0.811045967
NDUFB4P9,0.228387801,0.871795846,4.197991892,0.207669731,0.835486854,NA
SEPTIN12,22.8946362,0.871177847,0.650654975,1.338924439,0.180595273,0.782472051
RN7SL861P,0.344976261,0.870989415,1.124073399,0.774851016,0.4384277,NA
RPL35AP31,0.405970582,0.8709667,1.158772326,0.75162884,0.452274295,NA
CYB5D2,1225.310366,0.870965903,0.32168511,2.707510783,0.006778987,0.296269032
PIK3CD-AS2,61.78032185,0.870769469,0.495720541,1.756573306,0.078990566,0.64187873
AKR1C3,1054.032893,0.870724536,0.554233491,1.5710428,0.116172708,0.707585266
AKR1C1,401.0027499,0.87058884,0.583493596,1.492028098,0.135691779,0.737963986
P2RX3,0.878200929,0.87046285,0.790381773,1.101319489,0.270757632,NA
CFD,2310.561534,0.870196675,0.665174446,1.308223249,0.190797599,0.791463027
TRAJ11,0.300661646,0.869855839,1.65444132,0.525770137,0.599047926,NA
C1orf53,111.0731165,0.869374409,0.417697979,2.081346935,0.037402162,0.517676624
PON3,499.4012166,0.869095944,0.825821922,1.052401155,0.292615539,0.846112175
C1QTNF9,11.12281128,0.868744922,0.623434652,1.39348193,0.163474106,0.764523296
VPS25P1,0.214694211,0.867972214,2.046970835,0.424027641,0.671545655,NA
HNRNPA1P76,0.344977823,0.867956887,1.191910542,0.728206402,0.466487248,NA
AAMDC,1181.348318,0.867713419,0.351979033,2.46524178,0.013692083,0.374655613
SORBS1,3170.104755,0.867436884,0.428633595,2.023725841,0.042998368,0.545235914
VWA2,897.1411646,0.866946748,0.66040967,1.312740846,0.189270289,0.791032527
KL,103.4770565,0.866506212,0.470725291,1.840789582,0.0656524,0.613712219
TBX20,19.17159839,0.866392413,1.228285939,0.705367037,0.480581852,0.916762137
RNF212B,18.05538948,0.866388124,0.372394072,2.326535755,0.019989987,0.425370309
ADAMTS9-AS2,35.58469813,0.86575921,0.608857504,1.42194061,0.155043493,0.758030275
CLK3P2,1.332845372,0.865656736,1.101098309,0.786175702,0.431764559,NA
SPCS2P1,0.697965257,0.864901048,0.902073541,0.95879217,0.337663454,NA
ALG1L9P,27.08583368,0.864211876,0.383692119,2.252357642,0.02429968,0.454571604
AVPR1A,365.4921382,0.863817666,0.448491054,1.926053281,0.054097721,0.585307373
TTBK1,36.66064607,0.863793378,0.475341782,1.81720482,0.069185757,0.620730131
ANP32BP2,0.210986895,0.863491391,1.790565199,0.482245155,0.629631803,NA
PYY,49.46499557,0.862951171,0.816025445,1.057505223,0.290281072,0.845572023
SCN4B,543.2489403,0.862776671,0.518149916,1.665110123,0.095890787,0.674291465
SHC2,1163.00439,0.862654663,0.484722646,1.779687149,0.075127175,0.634844964
APOA1-AS,3.606471712,0.862217609,0.596597779,1.445224303,0.148394892,NA
PCDHGA7,79.99057727,0.861686492,0.601238953,1.433184739,0.15180505,0.756750902
LINC02552,0.121424918,0.861404751,2.878192069,0.29928675,0.764721263,NA
MARCHF10-DT,0.33111696,0.861166395,1.38334556,0.622524422,0.53359709,NA
PKIB,1928.944984,0.861009958,0.542672011,1.58661206,0.112600534,0.703365791
USHBP1,170.050215,0.860982606,0.384499755,2.239227972,0.025141087,0.460049772
MYOM3,100.3009825,0.860501788,0.427661771,2.012108275,0.044208525,0.550628709
MINDY1,3146.227974,0.860381427,0.341749058,2.517582443,0.011816331,0.358560527
LINC01233,1.34567669,0.8600101,1.150653651,0.747410048,0.454816082,NA
OR1H1P,2.097176524,0.859609301,0.940854275,0.913647655,0.360902017,NA
CELF2-DT,0.273745827,0.858833204,2.223622176,0.386231624,0.699325135,NA
KLHL1,0.382456079,0.858303088,1.925835716,0.445678248,0.655829679,NA
TPI1P4,0.282566586,0.857291842,1.339718988,0.639904226,0.522234867,NA
KRT8P2,2.18819646,0.85690752,0.777218091,1.102531618,0.27023062,NA
USP50,2.73331067,0.856867181,0.450204979,1.903282329,0.057003715,NA
LINC01791,0.176443453,0.856108586,2.533197397,0.337955734,0.735396546,NA
KLHL4,39.37276992,0.854160541,0.511932714,1.668501576,0.095216199,0.672559511
SERPINF2,328.7424027,0.853580666,0.479204058,1.78124674,0.074872151,0.634575235
TNRC18P1,708.018319,0.851999892,0.908000486,0.93832537,0.348077226,0.872257072
NPR1,691.4777555,0.850834095,0.441116776,1.928818265,0.053753427,0.585307373
LGALS9C,16.84120966,0.850757933,0.70258439,1.210897858,0.225934554,0.814781398
PRRT4,61.20772442,0.850687472,0.664914465,1.279393841,0.200758401,0.798077294
TRAJ8,0.407430164,0.850598588,1.217871599,0.698430433,0.48490805,NA
MOCS1,866.6861661,0.850086078,0.334811167,2.53900157,0.011116932,0.350838553
TAF9BP1,1.221130587,0.849729464,0.717542218,1.184222256,0.236325094,NA
FRMPD1,67.41548999,0.849441595,0.630610992,1.34701362,0.177975846,0.780834606
MIR3157,0.275475186,0.849353377,1.669882094,0.508630747,0.611011073,NA
AFAP1L2,1431.220214,0.848797596,0.409319434,2.073680177,0.038109023,0.521595029
TCEAL3,2839.53907,0.847659789,0.410410871,2.065393122,0.038885819,0.522638772
LINC01507,0.587924886,0.847501426,1.243728895,0.681419745,0.495605933,NA
IQGAP2,3435.691162,0.84702663,0.500003178,1.694042491,0.090257209,0.665189263
BOLA3P4,0.573706457,0.846236945,1.14387886,0.739795947,0.459423818,NA
AXDND1,18.78640968,0.846026205,0.563519671,1.501325061,0.133271506,0.734675514
GLDN,177.9219942,0.845332978,0.579635359,1.458387526,0.144733757,0.746443038
USP41,16.14342121,0.845163255,0.876634093,0.964100372,0.334995606,0.866751203
IGFN1,38.43499394,0.844308358,0.700837935,1.204712696,0.228314233,0.815413262
CTSG,150.2676529,0.844204856,0.702096246,1.202406168,0.229206201,0.815413262
SYNPR-AS1,15.70154609,0.844122274,0.898570637,0.939405584,0.347522547,0.872257072
MTCO1P17,0.393861291,0.843980884,0.93305581,0.904534193,0.365712212,NA
SETP9,1.292981262,0.843482396,0.944862219,0.892704121,0.372015643,NA
BNIP5,3.35541831,0.842909848,0.754470537,1.117220363,0.263900116,NA
RN7SL473P,3.482455477,0.842401207,0.620592783,1.357413799,0.174649766,NA
DMBT1,35.29425463,0.842245175,0.784550947,1.073537899,0.283029844,0.841199945
ZNF385B,293.6901437,0.841945653,0.750318551,1.122117602,0.261812441,0.830513976
OR7K1P,0.118953919,0.841245339,3.198303343,0.263028628,0.792528514,NA
OR2T33,0.619303366,0.840957544,1.245573957,0.675156653,0.499576243,NA
RPL35P9,0.422421398,0.83980416,1.225878009,0.685063403,0.493303913,NA
LINC00989,9.022365171,0.839359763,0.535158322,1.568432609,0.116780206,0.70856109
KCTD14,206.8534413,0.839226586,0.580663099,1.445290026,0.148376438,0.751276792
ZNF725P,6.152895906,0.839156439,1.056867942,0.794003116,0.427193617,0.898894671
PRICKLE2-AS2,1.116470429,0.83899125,1.167694445,0.71850239,0.472447575,NA
LINC01936,28.75259509,0.838066237,0.415918692,2.014976133,0.04390715,0.549547588
MSX2,851.3310076,0.837939852,0.552100309,1.517731178,0.129082181,0.729874875
MIR6076,0.37879031,0.836730927,1.777705871,0.470680184,0.637869137,NA
LINC01170,1.781457117,0.83638153,0.952420605,0.878164044,0.379854702,NA
LINC02360,0.135502944,0.835851541,2.864521771,0.291794445,0.770443792,NA
RAD23BP3,0.140843624,0.835834185,2.847031031,0.293580989,0.769078105,NA
ELOVL3,33.86662906,0.834597262,0.540126414,1.545188757,0.122300613,0.716602912
KCNQ5,162.4010771,0.834535643,0.611404792,1.364947829,0.172269448,0.773229613
TDRD15,0.482298251,0.834033306,1.184953783,0.703853026,0.481524307,NA
MUC1,36845.06612,0.834000335,0.545681176,1.528365596,0.126421792,0.724386705
LINC02464,0.239516852,0.833820347,1.668937905,0.499611366,0.617348753,NA
SPTLC1P1,0.705198418,0.83328278,0.762104819,1.09339655,0.274219728,NA
HTT-AS,0.698106439,0.832192564,0.823369189,1.010716182,0.31215229,NA
MEIS3P1,193.8036191,0.831905208,0.439988833,1.890741639,0.058658841,0.59772757
RNF7P1,1.150888127,0.831877083,0.767159752,1.084359653,0.278205366,NA
MIR5685,8.850979461,0.831636449,0.603831125,1.377266614,0.168429833,0.768957733
NSG1,149.1366015,0.830732273,0.641931675,1.294113229,0.195626313,0.795009258
LINC01450,1.087013019,0.830444238,0.844250192,0.983647082,0.325289067,NA
CADM3-AS1,51.16314759,0.830154181,0.741529882,1.119515479,0.262920291,0.831281987
MGAM2,105.6189252,0.829781532,0.905816971,0.916058717,0.359636099,0.877615237
SCARNA4,0.609717427,0.829687952,0.811601788,1.02228453,0.306646253,NA
MTRNR2L2,1.032445476,0.829569012,0.795202358,1.043217495,0.296847573,NA
ARHGAP42P2,2.458047923,0.828605154,0.827569792,1.001251088,0.316705433,NA
GDF3,9.110636063,0.828525603,0.566190827,1.46333279,0.14337634,0.745784951
MTHFD2P6,0.499771125,0.828483985,0.923352898,0.897256062,0.369582296,NA
LGR4-AS1,5.446081997,0.828138252,0.528196864,1.567859084,0.116914022,0.708679079
TTC34,62.76423233,0.826868569,0.558662415,1.480086268,0.138850226,0.741207923
CLCNKB,12.03274162,0.826611319,0.565074035,1.462837199,0.143511932,0.745784951
C7,1357.522098,0.826465908,0.821895995,1.005560208,0.314627173,0.857982502
BEND7P1,0.232850061,0.825691092,1.583027765,0.521589772,0.601955986,NA
KRT18P9,0.387782657,0.825441659,1.151949654,0.716560534,0.473645303,NA
IGHMBP2,1358.337126,0.825205692,0.299442832,2.75580379,0.005854811,0.278492061
RNU6-1045P,0.200080822,0.825135708,1.981902559,0.416335155,0.677164772,NA
THAP12P8,0.587051224,0.824958989,1.144218868,0.720980061,0.470921783,NA
LIPT2,96.86752405,0.824933384,0.375731065,2.195542134,0.028124732,0.47354983
ACADS,1249.004239,0.824485731,0.437427787,1.884849923,0.059450103,0.599183082
FAM222A-AS1,16.87980131,0.82352315,0.565027657,1.457491754,0.144980686,0.746443038
ITM2BP1,0.82837704,0.823249091,0.990698832,0.830978159,0.405985968,NA
LSINCT5,6.0780054,0.823248088,0.732193183,1.124359128,0.260860704,0.830308097
GABRG1,1.730596657,0.822809347,0.786767301,1.045810299,0.295648625,NA
TUBAL3,62.77836719,0.822538746,0.60702244,1.35503845,0.175405307,0.776856706
SPPL2C,3.609699981,0.822375208,1.138823923,0.722126741,0.470216559,NA
ACSM4,16.27298893,0.822058431,0.637389936,1.289726091,0.197145777,0.795406487
ARL4A,1198.640999,0.821721945,0.37414628,2.196258491,0.028073447,0.47354983
RNU11-3P,0.319843613,0.820693928,1.483499421,0.553214862,0.580116291,NA
TMEM239,0.614155512,0.820318111,1.086052775,0.755320671,0.450056599,NA
TRAJ25,0.249802003,0.819879276,1.921316734,0.426727807,0.669577595,NA
FMOD,7033.0141,0.819008805,0.435930928,1.878758199,0.060277517,0.601449596
CCDC144A,31.39698108,0.818261185,0.942380153,0.86829204,0.385234479,0.883753278
AJAP1,55.49547711,0.818183475,0.440836313,1.855980216,0.063456378,0.610703399
CCDC26,1.518122696,0.817849273,0.694161669,1.178182705,0.238723776,NA
TNS2,4516.53336,0.817563765,0.30713731,2.661883589,0.007770475,0.309456105
RN7SL313P,2.668786753,0.817050422,0.594534009,1.374270285,0.169357788,NA
LINC02382,0.132298552,0.81685093,2.870586158,0.284558932,0.775982079,NA
ESRRG,461.4064134,0.816837785,0.579798419,1.408830653,0.158885249,0.761299432
TMEM37,682.8360872,0.816037014,0.466711703,1.748482002,0.080380599,0.64556924
CBLN4,57.54136571,0.815737458,0.656073211,1.243363461,0.213733928,0.805758176
LINC02082,1.105596354,0.815370344,0.769943199,1.059000645,0.289599486,NA
MIR135A1,3.29919575,0.814920174,0.459310163,1.774226305,0.076025725,NA
CERS2,16661.21007,0.813173568,0.316130207,2.572274172,0.010103285,0.346273955
MEIS1-AS2,0.934634807,0.81306636,0.80979022,1.004045666,0.315356603,NA
ROR1-AS1,12.56619416,0.812592614,0.663350181,1.224982878,0.220581672,0.8114115
FO681492.1,34.66574638,0.812484916,0.47563481,1.708211636,0.08759708,0.661217525
RNA5SP324,0.15241725,0.812398601,2.366338771,0.34331458,0.731361813,NA
HERC2P11,0.129845809,0.812367167,2.400048476,0.338479483,0.735001886,NA
PHBP5,0.424419334,0.812040436,0.961101302,0.844906186,0.39816322,NA
LINC02687,0.348509621,0.811849652,1.460989207,0.555684908,0.578426276,NA
RDH5,69.0655678,0.811525575,0.470263015,1.725684456,0.084404196,0.655965965
NAP1L6P,10.90939757,0.811229773,0.748933301,1.083180267,0.278728417,0.837830359
LINC01435,0.594995876,0.810412767,0.959838937,0.844321621,0.398489708,NA
MRPL21,2205.990225,0.810362082,0.349318909,2.319834574,0.020349828,0.428580361
SULT1A2,104.9165247,0.810317901,0.542425865,1.493877696,0.135207589,0.737963986
POTEKP,417.0047951,0.810287049,0.92805709,0.873100435,0.382608337,0.882956397
FOXD4L1,8.470201747,0.809990991,0.475300545,1.704165921,0.088350094,0.663503994
RNU6-223P,0.138491194,0.809798114,2.857940718,0.283350214,0.776908389,NA
BET1P1,1.218099009,0.809406504,0.799900323,1.011884207,0.311593421,NA
ETF1P3,0.34203303,0.809080604,1.220372774,0.662978248,0.507344485,NA
HSD11B1-AS1,23.38656596,0.807674464,0.684604446,1.179768066,0.238092474,0.815878012
FAXDC2,1207.586221,0.807364322,0.495467814,1.62949903,0.10320742,0.687911637
AQP1,7923.899851,0.807200728,0.457273555,1.765246905,0.077522279,0.640260574
RN7SL209P,0.454782238,0.806786368,1.286444846,0.627144157,0.530564745,NA
P2RY2,665.6064723,0.806576191,0.440196715,1.832308518,0.066905469,0.617148853
LRCOL1,9.660722954,0.80626823,0.811169427,0.993957864,0.320243382,0.860710319
SNORD3A,3.543333016,0.806116253,0.863057593,0.934023708,0.350291664,NA
KCNMA1-AS2,0.188863692,0.805970721,3.399292152,0.237099574,0.812579543,NA
LIFR,2135.750059,0.805940736,0.512833149,1.57154571,0.116055946,0.707585266
SLC26A2,1811.20075,0.805568654,0.322042158,2.501438502,0.012368992,0.364542894
RN7SL574P,6.184087014,0.805301671,0.417992645,1.926592922,0.054030381,0.585307373
RPSAP1,1.040728066,0.804765753,0.877267207,0.917355336,0.358956469,NA
PGC,202.4146656,0.803160808,1.323177324,0.606994084,0.543854838,0.933371516
FOXD4L5,2.158989405,0.802420042,0.723801626,1.108618734,0.267594693,NA
IGFL4,18.78177903,0.802301559,0.594454635,1.349643038,0.177130512,0.778575031
Z99758.1,0.314325046,0.801984601,1.474682087,0.543835589,0.586554616,NA
LINC02428,7.265963665,0.800839028,0.853396205,0.938414095,0.348031645,0.872257072
FRMPD2B,1.832787486,0.800699943,1.171859087,0.68327323,0.494434207,NA
ECSCR,222.1377919,0.800592718,0.426669431,1.876377027,0.060603527,0.602417495
HMGB1P13,0.247225235,0.800522855,2.730501132,0.293177998,0.769386101,NA
CTSLP6,0.161242507,0.800367649,2.602517684,0.307535912,0.758435493,NA
AGTR2,2.531555587,0.799736266,1.395009798,0.57328362,0.566452674,NA
SHC1P1,0.133319994,0.799735083,2.216779156,0.360764436,0.718275551,NA
PRELID3BP11,0.870845522,0.799654298,0.914925845,0.874009957,0.382112831,NA
LINC02814,7.616011649,0.799063667,0.716235644,1.115643536,0.264574749,0.831418926
GDF10,79.40302196,0.798931926,0.689681918,1.158406368,0.246698241,0.821943206
OTOAP1,21.11399221,0.798155283,0.48523913,1.644869992,0.099996624,0.683551084
MTND5P2,0.285401476,0.798145889,1.607880806,0.496396179,0.61961492,NA
ACOX2,1000.180414,0.798102192,0.677424369,1.178142135,0.238739947,0.816382182
INSYN1,279.3735756,0.797400159,0.588913618,1.354018883,0.175730353,0.776856706
CCT8L2,0.344450741,0.797089396,1.504881673,0.529669149,0.596341341,NA
FPGT-TNNI3K,34.08588461,0.796853538,0.479229195,1.662781706,0.09635614,0.674961498
CEBPD,2919.509874,0.796730289,0.477748,1.667678961,0.095379474,0.672559511
RHOB,25854.77276,0.796649621,0.342430908,2.326453605,0.019994365,0.425370309
GJA4,791.7972124,0.79661049,0.355222744,2.242566117,0.024924807,0.457688421
LINC01344,25.0877695,0.796539054,0.821020192,0.970182051,0.331955756,0.865659523
MFSD6L,133.8432629,0.796510343,0.688182322,1.157411806,0.247104153,0.822455118
RNA5SP466,0.517893,0.79589247,0.999088601,0.796618508,0.425672625,NA
MIR4767,0.260281151,0.794883774,1.281028441,0.620504392,0.534925763,NA
RALGAPA2,2437.210281,0.793841718,0.316186434,2.510676081,0.012050021,0.360620007
LINC02289,16.80403926,0.793423654,0.433930377,1.828458423,0.06748078,0.617295772
NPAP1P3,0.561338265,0.793202615,1.188126074,0.66760812,0.504383773,NA
SCN2B,59.9784812,0.792950631,0.722871708,1.096945174,0.27266536,0.836603263
MIR4297,1.089937434,0.792580916,0.687518645,1.152813705,0.248986858,NA
SRARP,1183.069799,0.792384043,1.027474148,0.771196087,0.440590713,0.903520523
WDR86-AS1,48.33865864,0.792055313,0.451482523,1.75434324,0.079371711,0.6429686
CLCA1,0.525739808,0.791969456,1.553587999,0.509768006,0.610214003,NA
BX005019.1,0.295602863,0.791903791,2.246300885,0.352536829,0.724435703,NA
NBPF15,737.5160461,0.791594153,0.44181295,1.791695223,0.0731818,0.63177349
CACNA2D2,777.8895531,0.791156594,0.571690473,1.383889764,0.166392212,0.767952217
ATCAY,1.548977978,0.791082576,0.689684332,1.147021238,0.251372844,NA
DTD1-AS1,0.143302333,0.790925447,2.390275119,0.33089306,0.740725265,NA
RN7SL369P,0.157975191,0.790861016,2.192108653,0.360776376,0.718266624,NA
MAS1LP1,0.760978856,0.79075444,1.106463515,0.714668337,0.474814007,NA
MIR6730,0.791072955,0.79062071,0.987461143,0.800660073,0.423328463,NA
GHRH,18.8618932,0.790363107,1.287952538,0.613658565,0.539440974,0.931989962
OBSCN-AS1,70.76134183,0.78987595,0.455227074,1.735125164,0.082718638,0.65163988
C8orf34,35.46317211,0.789855723,0.573292964,1.377752341,0.168279765,0.768957733
ITGA7,1030.019246,0.789600402,0.486672732,1.622446359,0.10470781,0.692003417
PCF11,3455.396989,0.789343827,0.215107401,3.669533555,0.000242993,0.07486298
LINC02603,6.098583477,0.789053949,0.470651953,1.676512643,0.093637822,0.6714623
MAPK10,445.8750827,0.788952133,0.608916877,1.29566475,0.195091011,0.795009258
ITIH5,1598.661568,0.788619888,0.549872735,1.4341862,0.151519134,0.756687101
LINC00167,3.944640412,0.788505193,0.480047297,1.642557301,0.100474561,NA
EGR3,1770.502237,0.787269541,0.589422415,1.335662711,0.181659543,0.783164611
LINC00307,0.952737501,0.786846522,2.170099333,0.362585487,0.716914554,NA
TMEM256-PLSCR3,3.75333361,0.786717203,0.45394376,1.733071963,0.083082879,NA
VDAC2P4,0.187587336,0.78542973,2.541346059,0.309060518,0.757275492,NA
RNA5SP452,0.787604889,0.78520097,0.935350898,0.839472087,0.401204446,NA
OR2T8,2.990596712,0.784785608,0.855993209,0.91681289,0.359240697,NA
TBCAP3,1.204072642,0.783842613,1.007605013,0.777926472,0.436612362,NA
LMLN-AS1,0.540331632,0.783561711,0.900886753,0.869767158,0.384427662,NA
ZIC5,36.87014258,0.782911704,1.657141364,0.472447144,0.636607661,0.950808323
IGSF5,48.48208422,0.782898544,0.526487304,1.487022645,0.13700883,0.739255212
LMF1-AS1,7.985077817,0.782699724,0.444544717,1.760677147,0.078293063,0.640260574
LINC01649,4.120868839,0.782646218,0.94148532,0.831288817,0.405810491,NA
CMTM5,10.76697434,0.782554124,0.995194848,0.786332571,0.431672675,0.900361072
OR1L8,3.147965939,0.782346678,0.623131301,1.255508553,0.209294205,NA
LHFPL3-AS2,7.829451732,0.782007834,0.64150106,1.219028124,0.222833518,0.812721635
USP32P1,37.47208832,0.781870508,0.956339554,0.817565795,0.413605165,0.893996554
SLC14A2-AS1,3.882346232,0.78142951,0.762544077,1.024766349,0.305473448,NA
RNU6-59P,0.206842413,0.781373504,2.321704063,0.336551724,0.736454854,NA
PKLR,3.015914222,0.781139204,0.599063281,1.303934372,0.19225596,NA
CD302,417.0114438,0.78065922,0.399028774,1.956398312,0.050418251,0.572945105
PEAR1,472.1047845,0.780607224,0.39635337,1.969472907,0.048898811,0.566678582
C10orf62,0.594870411,0.780238034,1.087571427,0.717413141,0.473119213,NA
RNU2-25P,0.468764245,0.779270908,1.038709567,0.750229836,0.453116292,NA
PDE11A,109.8125545,0.778514572,0.527040779,1.477142952,0.139637322,0.742157966
RN7SL239P,2.790955139,0.777925699,0.77203747,1.00762687,0.313633625,NA
GNAI1,782.5439588,0.777860632,0.386186384,2.014210403,0.043987448,0.550192895
LINC02160,0.161667452,0.777211912,2.365480774,0.328564037,0.742485235,NA
COX7A1,375.6362066,0.777123502,0.43877932,1.771103301,0.076543525,0.639497189
LARP7P2,0.533108359,0.776634326,1.152638297,0.673788411,0.500445844,NA
LINC01167,1.388223096,0.775604298,1.406117536,0.551592792,0.581227376,NA
SNORA74A,0.955161151,0.775348986,0.875593054,0.885512947,0.37588004,NA
EPB41L3,2020.307795,0.775199009,0.337920455,2.294028067,0.021788887,0.437365963
ATOH8,211.9911579,0.77469034,0.572257941,1.353743276,0.175818296,0.776856706
TIMP4,267.6002889,0.774424436,0.770749636,1.004767826,0.31500866,0.857982502
ACKR1,2122.307791,0.774020467,0.77600366,0.997444351,0.318548873,0.860137104
RN7SL301P,1.110286962,0.773976218,1.136034143,0.681296617,0.495683823,NA
OR2A20P,7.886659225,0.773575137,0.946269382,0.817499913,0.413642799,0.893996554
ST6GALNAC3,143.5022779,0.772856648,0.424177178,1.822013746,0.0684529,0.620730131
FGFR3,1187.475303,0.770964825,0.598922257,1.28725359,0.198005914,0.795406487
FAM241A,1781.645913,0.770704812,0.429771139,1.793291224,0.07292637,0.63177349
IL1RAPL2,23.99735712,0.770426613,0.687869943,1.120017848,0.262706156,0.831225018
GATD3A,98.43332937,0.770257228,0.768997814,1.001637734,0.31651859,0.859420943
DOCK9-AS1,0.421213454,0.769880223,1.705392413,0.451438752,0.651673359,NA
VWF,11241.89438,0.769865797,0.391200713,1.967956016,0.049073099,0.566708655
