Genename,baseMean,log2FC,lfcSE,stat,p_value,padj
HMGCS2,2260.118805,1.527512814,1.084554675,1.408423983,0.159005562,0.761463019
STEAP2,1706.09941,1.526767772,0.536209468,2.847334604,0.0044087,0.246387591
KCNIP2,305.7441188,1.525755923,0.600954456,2.538887777,0.011120549,0.350838553
SAA4,24.0150024,1.523931198,0.838113589,1.818287184,0.069020251,0.620730131
SCUBE2,12778.62529,1.52189595,0.780144216,1.95078797,0.051082274,0.576101163
PTGDR2,27.79546854,1.518763756,0.50548204,3.004585003,0.002659434,0.20227009
RAB30,2899.976074,1.516673936,0.481407921,3.150496428,0.001629932,0.170278447
GSTA10P,0.34375345,1.516639917,1.830606234,0.828490523,0.40739276,NA
GPAT2,274.5545392,1.515865705,0.697182669,2.17427336,0.029684612,0.480714068
RNU4ATAC9P,0.102390585,1.514933871,3.585423227,0.422525815,0.672641262,NA
EML6-AS1,0.054070782,1.513944364,5.41149142,0.279764717,0.779658023,NA
GDPD4,4.468724497,1.512480485,0.738998454,2.046662584,0.040691225,NA
LINC00896,16.67041468,1.50825411,0.57972843,2.60165628,0.009277478,0.3363157
ECRG4,247.9098277,1.506735701,0.804534311,1.872804778,0.061095348,0.603313459
ANKRD62P1,13.94781138,1.505087926,1.139902191,1.32036585,0.186712899,0.788236068
GRAMD4P8,47.87679794,1.500335915,0.912646363,1.643940059,0.100188585,0.683551084
SAA2,604.0782072,1.500219186,0.785511702,1.9098623,0.056150945,0.589031974
LINC01203,0.594148711,1.49966323,2.374637647,0.631533502,0.527691751,NA
RNA5SP507,0.574017047,1.498941421,0.933957937,1.604934614,0.108508195,NA
MIR6826,0.186022671,1.498149897,2.159178215,0.693851895,0.487775094,NA
FHL5,93.08854235,1.498108657,0.544816101,2.749751068,0.005964055,0.280816985
TM4SF20,0.944943185,1.497570512,0.696143614,2.15123788,0.031457429,NA
LINC01230,17.06585572,1.495086438,0.89407516,1.672215608,0.094481814,0.671687269
BX324167.2,23.56933796,1.488825298,0.602248543,2.472111084,0.013431777,0.374655613
CCN6,60.32262142,1.488315465,0.679003636,2.19191089,0.028385942,0.475416895
AGAP7P,15.15173333,1.481714637,0.588707756,2.516893353,0.011839466,0.358560527
NKX2-8,9.061817722,1.481197293,0.767982938,1.928685156,0.05376996,0.585307373
LINC01044,0.177254617,1.480828846,2.336344431,0.633823004,0.526196339,NA
PKHD1L1,35.04307969,1.480468358,0.662759355,2.233794737,0.025496582,0.461213103
BRINP3,843.852766,1.480253271,1.544396404,0.958467183,0.337827232,0.868137017
CYP4X1,3082.929127,1.478700382,0.814125379,1.816305474,0.069323526,0.620730131
ATP1A4,338.6631919,1.476826158,0.875269159,1.687282298,0.091549083,0.668047705
AQP7,309.0530227,1.475750477,0.811433355,1.818695853,0.068957845,0.620730131
WFDC2,5384.05484,1.473459423,0.837132414,1.76012707,0.078386264,0.640260574
B3GALNT2P1,0.15244079,1.472112537,3.919685727,0.375569022,0.707237324,NA
PCDHA10,177.4173485,1.471014511,0.694746425,2.117340168,0.034230988,0.50255146
SLC38A11,47.98067055,1.469648202,0.599542911,2.451281092,0.014234874,0.379520605
CBLN1,44.26573544,1.467880482,0.67483326,2.175175068,0.029617,0.480714068
