"","Coef_ridge","s0","tcross"
"WNT7A",NA,0.0555274063136897,1
"WNT11",NA,-0.024116746529204,1
"CA9",NA,0.00374223359314515,1
"FGFBP2",NA,-0.00156220123927456,1
"SPHK1",NA,-0.00685789406236501,1
"WWC1",NA,0.00388727087597839,1
"WNT8A",NA,0.0534247077844978,1
"WNT7B",NA,0.0257497677690554,1
"WNT4",NA,0.0113452727632307,1
"WNT3A",NA,0.038358177979901,1
"WNT3",NA,0.0110416847595552,1
"WNT16",NA,-0.00219431134280247,1
"WNT10A",NA,0.000686573755512986,1
"TUBA4B",NA,0.0033935372210681,1
"TTYH1",NA,-0.0213896292163165,1
"TCN1",NA,-0.0283304477506803,1
"STK32B",NA,0.0210919281443947,1
"SPHKAP",NA,-0.0283943378298512,1
"SLC16A1",NA,0.0271847291948091,1
"SHC4",NA,-0.0120397758749074,1
"SCUBE2",NA,-0.0327074993900857,1
"S100A4",NA,-0.00644538441806003,1
"RTN4RL1",NA,-0.0181519217739051,1
"PRSS12",NA,-0.0174930225452688,1
"PKD1",NA,0.00440745525014316,1
"PIK3R1",NA,0.00962706816877159,1
"PIK3CA",NA,0.0409427519771948,1
"PDCD1",NA,-0.00753105635619378,1
"NPY2R",NA,0.00848582456481784,1
"NOS1",NA,0.0514587956999246,1
"MYO3A",NA,-0.0255654138941662,1
"MELK",NA,-0.00871454861096217,1
"KIF11",NA,-0.00787317120193828,1
"JAG1",NA,-0.00153907394568043,1
"IGF1",NA,0.00156845907649888,1
"HSP90AA1",NA,0.0492923912576106,1
"HRAS",NA,-0.0119281909392389,1
"HILS1",NA,-0.0195092378907373,1
"GSTA1",NA,0.0117685697413141,1
"GJA1",NA,0.00287648635567557,1
"GADD45B",NA,0.0230791236053005,1
"GABBR2",NA,-0.00427666050323319,1
"FZD4",NA,-0.00836150769624268,1
"FZD3",NA,0.0159720577035589,1
"FLT4",NA,0.0107962914246655,1
"FGF8",NA,0.0225037587206889,1
"FGF5",NA,0.0236380176766569,1
"FGF1",NA,-0.0132591070853734,1
