"","Coef_lasso","s0","tcross"
"LHX9",NA,-0.0472438105443346,1
"WNT5A",NA,0,1
"DCK",NA,0,1
"TNFAIP8",NA,0,1
"MET",NA,0,1
"NUSAP1",NA,0,1
"PRKDC",NA,0,1
"RFC4",NA,0,1
"RRM2",NA,0,1
"SET",NA,0,1
"WNT9A",NA,0,1
"PRC1",NA,0,1
"CCNE2",NA,0,1
"IGF1R",NA,-0.0235269791866569,1
"CDCA7",NA,0,1
"ZACN",NA,0,1
"TOP2A",NA,0,1
"SLC2A3",NA,0,1
"SDCBP",NA,0,1
"SCG3",NA,0,1
"RUNDC1",NA,0,1
"RASSF7",NA,0,1
"PDPN",NA,0,1
"OXCT1",NA,0,1
"NOTCH1",NA,0,1
"LIN9",NA,0,1
"KLK3",NA,0,1
"HIST3H3",NA,0,1
"GMPS",NA,0,1
"GLRA3",NA,0,1
"GFPT1",NA,0,1
"FZD9",NA,0,1
"FZD10",NA,0,1
"DOCK4",NA,0,1
"DLL4",NA,0,1
"CEL",NA,0.191411988715919,1
"CDK4",NA,0,1
"CD151",NA,0,1
"AKT2",NA,0,1
"CCNA1",NA,-0.0535049897614881,1
"KIF20A",NA,0,1
"SPAG5",NA,0,1
"UBE2C",NA,0,1
"TTC24",NA,0,1
"ASPM",NA,0,1
"POLD1",NA,0,1
"SHC1",NA,0,1
"DIAPH3",NA,0,1
"MT3",NA,-0.12667474331577,1
"MKI67",NA,0,1
"GADD45A",NA,0,1
"G6PD",NA,0,1
"FGF7",NA,0,1
"COL9A3",NA,0,1
"CTSD",NA,0,1
"PIK3R3",NA,0,1
"LCN2",NA,0,1
"PIK3CD",NA,0,1
"FGFBP1",NA,0,1
"DVL1",NA,0,1
"WNT2B",NA,0,1
"TNFSF11",NA,0,1
"SLC2A1",NA,0,1
"SEC62",NA,0,1
"OGDHL",NA,0,1
"MTDH",NA,0,1
"KRAS",NA,0,1
"KIF18A",NA,0,1
"IFNG",NA,-0.0901035820829012,1
"GRB2",NA,0,1
"FZD7",NA,0,1
"FZD5",NA,-0.0442108876395886,1
"FLT1",NA,0,1
"FGF22",NA,0,1
"FGF2",NA,0,1
"CSNK1A1",NA,0,1
"CALY",NA,0,1
"AXIN1",NA,0,1
"ARPP21",NA,0,1
"AP2B1",NA,0,1
"AKT1",NA,0,1
"RBM3",NA,0,1
"CTHRC1",NA,0,1
"MUCL1",NA,0,1
"ECT2",NA,0,1
"FGFR1",NA,0,1
"NCCRP1",NA,0,1
"KRT6B",NA,0,1
"CXCL5",NA,0,1
"TSPAN8",NA,0,1
"AXIN2",NA,0,1
"SHC2",NA,0,1
"DVL2",NA,0,1
"MS4A7",NA,0,1
"PAIP1",NA,0,1
"MSI2",NA,0,1
"HES5",NA,0.0794861555474993,1
"CGA",NA,0,1
"ERBB2",NA,0,1
"MMP9",NA,0,1
"TNC",NA,0,1
"SPP1",NA,0,1
"KIT",NA,0,1
"JAG2",NA,0,1
"ITGB3",NA,0,1
"ENG",NA,0.0202555584588437,1
"FOXE1",NA,-0.0251707080511933,1
"KATNB1",NA,0,1
"STIP1",NA,0,1
"MTOR",NA,0,1
"IGFBP5",NA,0,1
"ARAF",NA,0,1
"LOXL2",NA,0,1
"SHC3",NA,0,1
"ALDH3A1",NA,-0.080630273557009,1
"NQO1",NA,0,1
"FGF16",NA,0,1
"CHRNA9",NA,0,1
"CDHR4",NA,0,1
"NRAS",NA,0,1
"FRAT2",NA,0,1
"TAT",NA,0,1
"SMN1",NA,0,1
"RHBDD1",NA,0,1
"LTK",NA,0,1
"KLHDC7B",NA,-0.100331211330027,1
"DVL3",NA,0,1
"DHX32",NA,0,1
"PCDH11X",NA,0,1
"IHH",NA,0,1
"FGF10",NA,0,1
"CXCL6",NA,0,1
"CXCL13",NA,0,1
"HDC",NA,0,1
"FGF18",NA,0,1
"WNT6",NA,0,1
"PDIA2",NA,0,1
"RAF1",NA,0,1
"RPLP1",NA,0,1
"TRH",NA,-0.0556236863868808,1
"EGLN1",NA,0,1
"PIWIL2",NA,0,1
"WNT9B",NA,0,1
"COL11A2",NA,0,1
"TGFB3",NA,0,1
"SFTPA1",NA,0,1
"LBP",NA,0,1
"CXCL1",NA,0,1
"CST4",NA,0,1
"CA6",NA,0,1
"ADH7",NA,0,1
"GRIA1",NA,0,1
"CD274",NA,0,1
"COL9A1",NA,0,1
"GPR180",NA,0,1
"TP53INP1",NA,0,1
"DDX3X",NA,0,1
"UCHL5",NA,0,1
"TCP11",NA,0,1
"RSPO2",NA,0,1
"MUC2",NA,0,1
"MSLN",NA,0,1
"IRS4",NA,0,1
"GABRA1",NA,0,1
"FGF9",NA,0,1
"FGF6",NA,0,1
"CUX2",NA,0,1
"CCNB1",NA,0,1
"C7orf57",NA,0,1
"NCAN",NA,0,1
"LRP5",NA,0,1
"FAM71E2",NA,0,1
"CDC20B",NA,0,1
"WISP1",NA,0,1
"SYK",NA,0,1
"SLIT1",NA,0,1
"TUBA3C",NA,0,1
"WNT2",NA,0,1
"LRP6",NA,0,1
"CDH18",NA,0,1
"C6orf223",NA,0,1
"LRP1B",NA,-0.0584630133542298,1
"KLK14",NA,0,1
"AKT3",NA,0,1
"TFF2",NA,0,1
"PIGR",NA,-0.0381246150837778,1
"HHATL",NA,0,1
"FGF17",NA,0,1
"PRSS3",NA,0,1
